0 smallestJava0 instructorSolution_000 8 8
0.0 0.0 0.0 0.0 0.0 
56.0 58.5 59.333333333333336 59.75 61.0 
55.0 57.5 58.333333333333336 58.75 60.0 
1 smallestJava1 070455301c2e18c7c89b850c2e86c311ac5fd223c84e723591012e163d60f11f5fd030343a444049a44940f8607d36c463f30556bf1efa98916d7417c2b4393c_000 2 8
26.0 26.0 26.0 25.75 25.4 
24.0 24.0 24.666666666666668 25.0 25.2 
31.0 31.5 32.0 33.0 34.2 
2 smallestJava10 15cb07a72bc49f3f4b4a1000410c388b4d03b9f36236365ba4b611ca0617243b6de4e2e0868abf9ccb667e5ff71ccd3ce631cd59fcf13ee22addabf66c1824fa_004 6 8
18.0 17.5 17.0 16.75 16.6 
20.0 21.0 21.333333333333332 21.5 21.8 
29.0 29.5 32.0 34.75 37.4 
3 smallestJava100 88394fc00b7053b386e97564e28ef68421ae09c0baeaf887bba7e254f452419783ed8f774bff3c0c7d23bdc8f6c1443fb47c7af97323d4d3d63cc088d3b6841a_005 6 8
17.0 17.0 16.666666666666668 16.5 14.4 
24.0 25.0 25.333333333333332 26.5 27.2 
47.0 48.5 50.333333333333336 51.5 52.2 
4 smallestJava101 88394fc00b7053b386e97564e28ef68421ae09c0baeaf887bba7e254f452419783ed8f774bff3c0c7d23bdc8f6c1443fb47c7af97323d4d3d63cc088d3b6841a_006 5 8
14.0 14.0 14.0 14.0 11.8 
32.0 32.0 32.333333333333336 32.5 33.4 
45.0 45.0 46.666666666666664 48.0 49.8 
5 smallestJava102 88394fc00b7053b386e97564e28ef68421ae09c0baeaf887bba7e254f452419783ed8f774bff3c0c7d23bdc8f6c1443fb47c7af97323d4d3d63cc088d3b6841a_007 2 8
24.0 24.0 23.666666666666668 23.25 21.6 
24.0 24.0 25.666666666666668 26.5 27.2 
31.0 31.5 32.0 33.75 34.8 
6 smallestJava103 88394fc00b7053b386e97564e28ef68421ae09c0baeaf887bba7e254f452419783ed8f774bff3c0c7d23bdc8f6c1443fb47c7af97323d4d3d63cc088d3b6841a_008 2 8
24.0 24.0 23.666666666666668 23.25 21.6 
24.0 24.0 25.666666666666668 26.5 27.2 
31.0 31.5 32.0 33.75 34.8 
7 smallestJava104 88394fc00b7053b386e97564e28ef68421ae09c0baeaf887bba7e254f452419783ed8f774bff3c0c7d23bdc8f6c1443fb47c7af97323d4d3d63cc088d3b6841a_009 2 8
